,民國102年第2季,民國102年第2季,民國102年第2季,民國102年第2季,民國102年第2季,民國102年第2季,民國102年第2季,民國102年第2季,民國102年第2季,民國102年第2季,民國102年第2季
,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
,會計項目,102年06月30日,102年06月30日,101年12月31日,101年12月31日,101年06月30日,101年06月30日,101年01月01日,101年01月01日,Unnamed: 9_level_2,Unnamed: 10_level_2
,Unnamed: 0_level_3,金額,%,金額,%,金額,%,金額,%,Unnamed: 9_level_3,Unnamed: 10_level_3
0,流動資產,,,,,,,,,,
1,現金及約當現金,629820.0,9.58,481290.0,8.08,367722.0,5.61,312153.0,4.97,,
2,透過損益按公允價值衡量之金融資產－流動,649630.0,9.88,181218.0,3.04,778070.0,11.88,454208.0,7.23,,
3,備供出售金融資產－流動淨額,18160.0,0.28,19285.0,0.32,21535.0,0.33,19317.0,0.31,,
4,應收票據淨額,19084.0,0.29,25969.0,0.44,35791.0,0.55,39962.0,0.64,,
5,應收帳款淨額,243193.0,3.7,255745.0,4.29,268675.0,4.1,225007.0,3.58,,
6,其他應收款淨額,43067.0,0.66,57763.0,0.97,45862.0,0.7,70672.0,1.13,,
7,存貨,31556.0,0.48,38080.0,0.64,35442.0,0.54,36688.0,0.58,,
8,預付款項,82679.0,1.26,64019.0,1.07,53252.0,0.81,50648.0,0.81,,
9,其他流動資產,149000.0,2.27,164209.0,2.76,3330.0,0.05,2166.0,0.03,,
10,流動資產合計,1866189.0,28.38,1287578.0,21.61,1609679.0,24.57,1210821.0,19.28,,
11,非流動資產,,,,,,,,,,
12,以成本衡量之金融資產－非流動淨額,500.0,0.01,500.0,0.01,0.0,0.0,0.0,0.0,,
13,不動產、廠房及設備,2380881.0,36.21,2346397.0,39.38,2385087.0,36.4,2385105.0,37.98,,
14,投資性不動產淨額,357706.0,5.44,398821.0,6.69,447813.0,6.83,468811.0,7.47,,
15,無形資產,1671398.0,25.42,1627449.0,27.31,1678839.0,25.62,1705382.0,27.16,,
16,遞延所得稅資產,65159.0,0.99,67491.0,1.13,73066.0,1.12,91518.0,1.46,,
17,其他非流動資產,232900.0,3.54,230345.0,3.87,357319.0,5.45,418288.0,6.66,,
18,非流動資產合計,4708544.0,71.62,4671003.0,78.39,4942124.0,75.43,5069104.0,80.72,,
19,資產總額,6574733.0,100.0,5958581.0,100.0,6551803.0,100.0,6279925.0,100.0,,
20,流動負債,,,,,,,,,,
21,短期借款,351408.0,5.34,72000.0,1.21,52500.0,0.8,56400.0,0.9,,
22,應付短期票券,22000.0,0.33,30000.0,0.5,42900.0,0.65,32700.0,0.52,,
23,應付票據,17926.0,0.27,17403.0,0.29,22306.0,0.34,7969.0,0.13,,
24,應付帳款,240906.0,3.66,237633.0,3.99,229771.0,3.51,272111.0,4.33,,
25,其他應付款,1425310.0,21.68,557548.0,9.36,1450006.0,22.13,539996.0,8.6,,
26,當期所得稅負債,114615.0,1.74,136476.0,2.29,106312.0,1.62,72367.0,1.15,,
27,其他流動負債,637729.0,9.7,658137.0,11.05,585349.0,8.93,618062.0,9.84,,
28,流動負債合計,2809894.0,42.74,1709197.0,28.68,2489144.0,37.99,1599605.0,25.47,,
29,非流動負債,,,,,,,,,,
30,長期借款,535776.0,8.15,716276.0,12.02,926386.0,14.14,1103067.0,17.56,,
31,遞延所得稅負債,11010.0,0.17,16734.0,0.28,17790.0,0.27,29181.0,0.46,,
32,其他非流動負債,443242.0,6.74,440554.0,7.39,430075.0,6.56,412624.0,6.57,,
33,非流動負債合計,990028.0,15.06,1173564.0,19.7,1374251.0,20.98,1544872.0,24.6,,
34,負債總額,3799922.0,57.8,2882761.0,48.38,3863395.0,58.97,3144477.0,50.07,,
35,歸屬於母公司業主之權益,,,,,,,,,,
36,股本,,,,,,,,,,
37,普通股股本,966306.0,14.7,966306.0,16.22,878460.0,13.41,878460.0,13.99,,
38,待分配股票股利,96631.0,1.47,0.0,0.0,87846.0,1.34,0.0,0.0,,
39,股本合計,1062937.0,16.17,966306.0,16.22,966306.0,14.75,878460.0,13.99,,
40,資本公積,,,,,,,,,,
41,資本公積－庫藏股票交易,204521.0,3.11,301152.0,5.05,301152.0,4.6,388998.0,6.19,,
42,資本公積合計,204521.0,3.11,301152.0,5.05,301152.0,4.6,388998.0,6.19,,
43,保留盈餘,,,,,,,,,,
44,法定盈餘公積,966306.0,14.7,878460.0,14.74,878460.0,13.41,798600.0,12.72,,
45,特別盈餘公積,148541.0,2.26,0.0,0.0,0.0,0.0,65880.0,1.05,,
46,未分配盈餘（或待彌補虧損）,474450.0,7.22,994956.0,16.7,485382.0,7.41,892159.0,14.21,,
47,保留盈餘合計,1589297.0,24.17,1873416.0,31.44,1363842.0,20.82,1756639.0,27.97,,
48,其他權益,,,,,,,,,,
49,國外營運機構財務報表換算之兌換差額,-161042.0,-2.45,-158071.0,-2.65,-43720.0,-0.67,0.0,0.0,,
50,備供出售金融資產未實現損益,-2404.0,-0.04,-1279.0,-0.02,971.0,0.01,438.0,0.01,,
51,其他權益合計,-163446.0,-2.49,-159350.0,-2.67,-42749.0,-0.65,438.0,0.01,,
52,歸屬於母公司業主之權益合計,2693309.0,40.96,2981524.0,50.04,2588551.0,39.51,3024535.0,48.16,,
53,非控制權益,81502.0,1.24,94296.0,1.58,99857.0,1.52,110913.0,1.77,,
54,權益總額,2774811.0,42.2,3075820.0,51.62,2688408.0,41.03,3135448.0,49.93,,
55,預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,0.0,,,
56,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,0.0,,0.0,,,
