,民國104年第2季,民國104年第2季,民國104年第2季,民國104年第2季,民國104年第2季,民國104年第2季,民國104年第2季,民國104年第2季,民國104年第2季
,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
,會計項目,104年06月30日,104年06月30日,103年12月31日,103年12月31日,103年06月30日,103年06月30日,Unnamed: 7_level_2,Unnamed: 8_level_2
,Unnamed: 0_level_3,金額,%,金額,%,金額,%,Unnamed: 7_level_3,Unnamed: 8_level_3
0,流動資產,,,,,,,,
1,現金及約當現金,615192.0,8.0,730177.0,9.94,816568.0,10.93,,
2,透過損益按公允價值衡量之金融資產－流動,911901.0,11.86,351455.0,4.79,772265.0,10.34,,
3,備供出售金融資產－流動淨額,0.0,0.0,23303.0,0.32,16472.0,0.22,,
4,應收票據淨額,11586.0,0.15,10957.0,0.15,25170.0,0.34,,
5,應收帳款淨額,219292.0,2.85,236004.0,3.21,213611.0,2.86,,
6,其他應收款淨額,37529.0,0.49,126336.0,1.72,30302.0,0.41,,
7,存貨,55545.0,0.72,44265.0,0.6,36652.0,0.49,,
8,預付款項,80886.0,1.05,89481.0,1.22,104945.0,1.4,,
9,其他流動資產,155973.0,2.03,140035.0,1.91,112992.0,1.51,,
10,流動資產合計,2087904.0,27.15,1752013.0,23.85,2128977.0,28.49,,
11,非流動資產,,,,,,,,
12,以成本衡量之金融資產－非流動淨額,500.0,0.01,500.0,0.01,500.0,0.01,,
13,不動產、廠房及設備,3262709.0,42.43,3190847.0,43.45,2990193.0,40.02,,
14,投資性不動產淨額,289971.0,3.77,305929.0,4.17,342777.0,4.59,,
15,無形資產,1689255.0,21.97,1738032.0,23.66,1650847.0,22.09,,
16,遞延所得稅資產,59753.0,0.78,56215.0,0.77,53387.0,0.71,,
17,其他非流動資產,299607.0,3.9,300923.0,4.1,305055.0,4.08,,
18,非流動資產合計,5601795.0,72.85,5592446.0,76.15,5342759.0,71.51,,
19,資產總計,7689699.0,100.0,7344459.0,100.0,7471736.0,100.0,,
20,流動負債,,,,,,,,
21,短期借款,76000.0,0.99,76000.0,1.03,113000.0,1.51,,
22,應付短期票券,35500.0,0.46,40000.0,0.54,24000.0,0.32,,
23,透過損益按公允價值衡量之金融負債－流動,9098.0,0.12,2048.0,0.03,4748.0,0.06,,
24,應付票據,9664.0,0.13,9701.0,0.13,24223.0,0.32,,
25,應付帳款,270042.0,3.51,293032.0,3.99,277033.0,3.71,,
26,其他應付款,1677819.0,21.82,644992.0,8.78,1497242.0,20.04,,
27,本期所得稅負債,125033.0,1.63,115293.0,1.57,121394.0,1.62,,
28,其他流動負債,352859.0,4.59,442406.0,6.02,350869.0,4.7,,
29,流動負債合計,2556015.0,33.24,1623472.0,22.1,2412509.0,32.29,,
30,非流動負債,,,,,,,,
31,應付公司債,1431452.0,18.62,1420336.0,19.34,1409306.0,18.86,,
32,長期借款,85714.0,1.11,114286.0,1.56,142857.0,1.91,,
33,遞延所得稅負債,412.0,0.01,467.0,0.01,522.0,0.01,,
34,其他非流動負債,436180.0,5.67,437841.0,5.96,443405.0,5.93,,
35,非流動負債合計,1953758.0,25.41,1972930.0,26.86,1996090.0,26.72,,
36,負債總計,4509773.0,58.65,3596402.0,48.97,4408599.0,59.0,,
37,歸屬於母公司業主之權益,,,,,,,,
38,股本,,,,,,,,
39,普通股股本,1169231.0,15.21,1169231.0,15.92,1062937.0,14.23,,
40,待分配股票股利,98227.0,1.28,0.0,0.0,106294.0,1.42,,
41,股本合計,1267458.0,16.48,1169231.0,15.92,1169231.0,15.65,,
42,資本公積,,,,,,,,
43,資本公積－庫藏股票交易,0.0,0.0,98227.0,1.34,98227.0,1.31,,
44,資本公積－認股權,103299.0,1.34,103299.0,1.41,103299.0,1.38,,
45,資本公積合計,103299.0,1.34,201526.0,2.74,201526.0,2.7,,
46,保留盈餘,,,,,,,,
47,法定盈餘公積,1169230.0,15.21,1062937.0,14.47,1062937.0,14.23,,
48,特別盈餘公積,121914.0,1.59,216432.0,2.95,216432.0,2.9,,
49,未分配盈餘（或待彌補虧損）,580476.0,7.55,1123614.0,15.3,520970.0,6.97,,
50,保留盈餘合計,1871620.0,24.34,2402983.0,32.72,1800339.0,24.1,,
51,其他權益,,,,,,,,
52,國外營運機構財務報表換算之兌換差額,-166273.0,-2.16,-124653.0,-1.7,-189224.0,-2.53,,
53,備供出售金融資產未實現損益,0.0,0.0,2739.0,0.04,-4092.0,-0.05,,
54,其他權益合計,-166273.0,-2.16,-121914.0,-1.66,-193316.0,-2.59,,
55,歸屬於母公司業主之權益合計,3076104.0,40.0,3651826.0,49.72,2977780.0,39.85,,
56,非控制權益,103822.0,1.35,96231.0,1.31,85357.0,1.14,,
57,權益總計,3179926.0,41.35,3748057.0,51.03,3063137.0,41.0,,
58,負債及權益總計,7689699.0,100.0,7344459.0,100.0,7471736.0,100.0,,
59,待註銷股本股數（單位：股）,0.0,,0.0,,0.0,,,
60,預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,,
61,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,0.0,,,
