,民國105年第1季,民國105年第1季,民國105年第1季,民國105年第1季,民國105年第1季,民國105年第1季,民國105年第1季,民國105年第1季,民國105年第1季
,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
,會計項目,105年03月31日,105年03月31日,104年12月31日,104年12月31日,104年03月31日,104年03月31日,Unnamed: 7_level_2,Unnamed: 8_level_2
,Unnamed: 0_level_3,金額,%,金額,%,金額,%,Unnamed: 7_level_3,Unnamed: 8_level_3
0,流動資產,,,,,,,,
1,現金及約當現金,580724.0,7.6,629710.0,8.29,610427.0,8.09,,
2,透過損益按公允價值衡量之金融資產－流動,499434.0,6.54,376197.0,4.95,535481.0,7.1,,
3,應收票據淨額,14465.0,0.19,11500.0,0.15,5771.0,0.08,,
4,應收帳款淨額,244199.0,3.2,225635.0,2.97,249332.0,3.31,,
5,其他應收款淨額,30320.0,0.4,43372.0,0.57,123100.0,1.63,,
6,存貨,56096.0,0.73,72976.0,0.96,61215.0,0.81,,
7,預付款項,87293.0,1.14,81692.0,1.08,86250.0,1.14,,
8,其他流動資產,186300.0,2.44,233649.0,3.08,191290.0,2.54,,
9,流動資產合計,1698831.0,22.23,1674731.0,22.05,1862866.0,24.7,,
10,非流動資產,,,,,,,,
11,以成本衡量之金融資產－非流動淨額,500.0,0.01,500.0,0.01,500.0,0.01,,
12,不動產、廠房及設備,3472618.0,45.45,3434424.0,45.21,3300792.0,43.76,,
13,投資性不動產淨額,325765.0,4.26,311291.0,4.1,300118.0,3.98,,
14,無形資產,1749330.0,22.89,1786596.0,23.52,1715933.0,22.75,,
15,遞延所得稅資產,120324.0,1.57,114375.0,1.51,60679.0,0.8,,
16,其他非流動資產,273361.0,3.58,274109.0,3.61,301215.0,3.99,,
17,非流動資產合計,5941898.0,77.77,5921295.0,77.95,5679237.0,75.3,,
18,資產總計,7640729.0,100.0,7596026.0,100.0,7542103.0,100.0,,
19,流動負債,,,,,,,,
20,短期借款,61400.0,0.8,107500.0,1.42,74000.0,0.98,,
21,應付短期票券,39000.0,0.51,39600.0,0.52,42500.0,0.56,,
22,透過損益按公允價值衡量之金融負債－流動,5048.0,0.07,1898.0,0.02,1748.0,0.02,,
23,應付票據,9572.0,0.13,17417.0,0.23,21923.0,0.29,,
24,應付帳款,251657.0,3.29,301072.0,3.96,290396.0,3.85,,
25,其他應付款,580627.0,7.6,696662.0,9.17,522635.0,6.93,,
26,本期所得稅負債,178234.0,2.33,114856.0,1.51,182150.0,2.42,,
27,其他流動負債,1880001.0,24.6,1905954.0,25.09,395329.0,5.24,,
28,流動負債合計,3005539.0,39.34,3184959.0,41.93,1530681.0,20.3,,
29,非流動負債,,,,,,,,
30,應付公司債,0.0,0.0,0.0,0.0,1425883.0,18.91,,
31,長期借款,42857.0,0.56,57143.0,0.75,100000.0,1.33,,
32,遞延所得稅負債,29.0,0.0,29.0,0.0,412.0,0.01,,
33,其他非流動負債,450369.0,5.89,446098.0,5.87,439518.0,5.83,,
34,非流動負債合計,493255.0,6.46,503270.0,6.63,1965813.0,26.06,,
35,負債總計,3498794.0,45.79,3688229.0,48.55,3496494.0,46.36,,
36,歸屬於母公司業主之權益,,,,,,,,
37,股本,,,,,,,,
38,普通股股本,1267458.0,16.59,1267458.0,16.69,1169231.0,15.5,,
39,股本合計,1267458.0,16.59,1267458.0,16.69,1169231.0,15.5,,
40,資本公積,,,,,,,,
41,資本公積－庫藏股票交易,0.0,0.0,0.0,0.0,98227.0,1.3,,
42,資本公積－認股權,103299.0,1.35,103299.0,1.36,103299.0,1.37,,
43,資本公積合計,103299.0,1.35,103299.0,1.36,201526.0,2.67,,
44,保留盈餘,,,,,,,,
45,法定盈餘公積,1169230.0,15.3,1169230.0,15.39,1062937.0,14.09,,
46,特別盈餘公積,121914.0,1.6,121914.0,1.6,216432.0,2.87,,
47,未分配盈餘（或待彌補虧損）,1381720.0,18.08,1125727.0,14.82,1416843.0,18.79,,
48,保留盈餘合計,2672864.0,34.98,2416871.0,31.82,2696212.0,35.75,,
49,其他權益,,,,,,,,
50,國外營運機構財務報表換算之兌換差額,-43295.0,-0.57,-24891.0,-0.33,-119494.0,-1.58,,
51,其他權益合計,-43295.0,-0.57,-24891.0,-0.33,-119494.0,-1.58,,
52,歸屬於母公司業主之權益合計,4000326.0,52.36,3762737.0,49.54,3947475.0,52.34,,
53,非控制權益,141609.0,1.85,145060.0,1.91,98134.0,1.3,,
54,權益總計,4141935.0,54.21,3907797.0,51.45,4045609.0,53.64,,
55,負債及權益總計,7640729.0,100.0,7596026.0,100.0,7542103.0,100.0,,
56,待註銷股本股數（單位：股）,0.0,,0.0,,0.0,,,
57,預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,,
58,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,0.0,,,
