,民國105年第4季,民國105年第4季,民國105年第4季,民國105年第4季,民國105年第4季,民國105年第4季,民國105年第4季
,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
,會計項目,105年12月31日,105年12月31日,104年12月31日,104年12月31日,Unnamed: 5_level_2,Unnamed: 6_level_2
,Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3,Unnamed: 6_level_3
0,流動資產,,,,,,
1,現金及約當現金,500403.0,6.65,629710.0,8.29,,
2,透過損益按公允價值衡量之金融資產－流動,517581.0,6.88,376197.0,4.95,,
3,應收票據淨額,34646.0,0.46,11500.0,0.15,,
4,應收帳款淨額,281085.0,3.74,225635.0,2.97,,
5,其他應收款淨額,51824.0,0.69,43372.0,0.57,,
6,存貨,70147.0,0.93,72976.0,0.96,,
7,預付款項,73700.0,0.98,81692.0,1.08,,
8,其他流動資產,245862.0,3.27,233649.0,3.08,,
9,流動資產合計,1775248.0,23.6,1674731.0,22.05,,
10,非流動資產,,,,,,
11,以成本衡量之金融資產－非流動淨額,500.0,0.01,500.0,0.01,,
12,不動產、廠房及設備,3280192.0,43.61,3434424.0,45.21,,
13,投資性不動產淨額,310556.0,4.13,311291.0,4.1,,
14,無形資產,1752231.0,23.3,1786596.0,23.52,,
15,遞延所得稅資產,122888.0,1.63,114375.0,1.51,,
16,其他非流動資產,280097.0,3.72,274109.0,3.61,,
17,非流動資產合計,5746464.0,76.4,5921295.0,77.95,,
18,資產總計,7521712.0,100.0,7596026.0,100.0,,
19,流動負債,,,,,,
20,短期借款,19600.0,0.26,107500.0,1.42,,
21,應付短期票券,56000.0,0.74,39600.0,0.52,,
22,透過損益按公允價值衡量之金融負債－流動,21480.0,0.29,1898.0,0.02,,
23,應付票據,16971.0,0.23,17417.0,0.23,,
24,應付帳款,300715.0,4.0,301072.0,3.96,,
25,其他應付款,718779.0,9.56,696662.0,9.17,,
26,本期所得稅負債,102466.0,1.36,114856.0,1.51,,
27,其他流動負債,523382.0,6.96,1905954.0,25.09,,
28,流動負債合計,1759393.0,23.39,3184959.0,41.93,,
29,非流動負債,,,,,,
30,應付公司債,1456812.0,19.37,0.0,0.0,,
31,長期借款,0.0,0.0,57143.0,0.75,,
32,遞延所得稅負債,7.0,0.0,29.0,0.0,,
33,其他非流動負債,460313.0,6.12,446098.0,5.87,,
34,非流動負債合計,1917132.0,25.49,503270.0,6.63,,
35,負債總計,3676525.0,48.88,3688229.0,48.55,,
36,歸屬於母公司業主之權益,,,,,,
37,股本,,,,,,
38,普通股股本,1267458.0,16.85,1267458.0,16.69,,
39,股本合計,1267458.0,16.85,1267458.0,16.69,,
40,資本公積,,,,,,
41,資本公積－認股權,115442.0,1.53,103299.0,1.36,,
42,資本公積－其他,98623.0,1.31,0.0,0.0,,
43,資本公積合計,214065.0,2.85,103299.0,1.36,,
44,保留盈餘,,,,,,
45,法定盈餘公積,1267458.0,16.85,1169230.0,15.39,,
46,特別盈餘公積,24891.0,0.33,121914.0,1.6,,
47,未分配盈餘（或待彌補虧損）,944480.0,12.56,1125727.0,14.82,,
48,保留盈餘合計,2236829.0,29.74,2416871.0,31.82,,
49,其他權益,,,,,,
50,國外營運機構財務報表換算之兌換差額,-32770.0,-0.44,-24891.0,-0.33,,
51,其他權益合計,-32770.0,-0.44,-24891.0,-0.33,,
52,歸屬於母公司業主之權益合計,3685582.0,49.0,3762737.0,49.54,,
53,非控制權益,159605.0,2.12,145060.0,1.91,,
54,權益總計,3845187.0,51.12,3907797.0,51.45,,
55,負債及權益總計,7521712.0,100.0,7596026.0,100.0,,
56,待註銷股本股數（單位：股）,0.0,,0.0,,,
57,預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,,
58,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,,
